transaction_id,customer_id,product_id,quantity_sold,transaction_date,sales_amount
T1001,C101,P101,1,2026-01-10,65000
T1002,C102,P102,2,2026-01-15,90000
T1003,C103,P103,3,2026-02-05,15000
T1004,C101,P104,2,2026-02-12,24000
T1005,C104,P105,1,2026-03-08,15000
T1006,C105,P102,1,2026-03-15,45000
T1007,C106,P106,2,2026-04-05,14000
T1008,C107,P107,1,2026-04-18,6500
T1009,C108,P108,4,2026-05-11,6000
T1010,C101,P110,1,2026-05-20,30000
T1011,C102,P101,1,2026-06-05,65000
T1012,C109,P109,2,2026-06-18,9000
T1013,C110,P103,2,2026-07-10,10000
T1014,C105,P106,3,2026-07-22,21000
T1015,C103,P102,1,2026-08-01,45000
T1016,C101,P108,5,2026-08-10,7500
T1016,C101,P108,5,2026-08-10,7500
T1017,C102,P110,0,2026-08-12,0
T1018,,P101,1,2026-08-15,65000
T1019,C104,,2,2026-08-18,10000
